Name,LUX
"042",2200
"043",3980
"044",1790
"045",6240
"046",9830
"047",8420
"048",1628
"049",19350
"050",1532
"051",2330
"052",5050
"053",3196
"054",2920
"055",3700
"056",7460
"057",3860
"058",7220
"059",3570
"060",1456
"061",2420
"062",10430
"063",2143
